Số thứ tự, Ngày, Tháng, Năm, Tên dự án, Tiến độ bắt đầu, Tiến độ kết thúc, Tài khoản đảm nhiệm, Ghi chú, Trạng thái hoàn thành
0, 9, 6, 2025, Lời tỏ tình,  0, 0, tducanh263, Khởi động dự án, Đã hoàn thành
1,10, 6, 2025, Lời tỏ tình,1,22,wag0murad,, Đã hoàn thành
2,11, 6, 2025, Lời tỏ tình,23,43,wag0slimz,, Đã hoàn thành
3,12, 6, 2025, Lời tỏ tình,44,64,tthanhnha0203,, Đã hoàn thành
4,13, 6, 2025, Lời tỏ tình,65,84,wag0toro, wag0toro,,Chưa hoàn thành
5,14, 6, 2025,,,,wag0violet,,Chưa hoàn thành
6,15, 6, 2025,,,,,,Chưa hoàn thành
7,16, 6, 2025,,,,,,Chưa hoàn thành
8,17, 6, 2025,,,,,,Chưa hoàn thành
9,18, 6, 2025,,,,,,Chưa hoàn thành
10,19, 6, 2025,,,,,,Chưa hoàn thành
11,20, 6, 2025,,,,,,Chưa hoàn thành
12,21, 6, 2025,,,,,,Chưa hoàn thành
13,22, 6, 2025,,,,,,Chưa hoàn thành
14,23, 6, 2025,,,,,,Chưa hoàn thành
15,24, 6, 2025,,,,,,Chưa hoàn thành
,, 6, 2025,,,,,,Chưa hoàn thành
,, 6, 2025,,,,,,Chưa hoàn thành
,, 6, 2025,,,,,,Chưa hoàn thành
,, 6, 2025,,,,,,Chưa hoàn thành
,, 6, 2025,,,,,,
